ip,protocol,open_port_count,has_web,has_db,has_sensitive,is_udp_exposed,risk_score,risk_label
synthetic,tcp,4,1,0,1,1,16,High
synthetic,tcp,7,0,1,0,0,14,High
synthetic,tcp,20,0,0,0,0,10,Medium
synthetic,tcp,13,1,1,0,1,20,High
synthetic,tcp,1,0,1,0,1,9,Medium
synthetic,tcp,8,1,1,1,1,22,High
synthetic,tcp,4,0,1,0,0,12,High
synthetic,tcp,18,0,1,0,0,14,High
synthetic,tcp,18,1,0,0,0,13,High
synthetic,tcp,5,0,0,0,1,13,High
synthetic,tcp,3,0,0,0,1,9,Medium
synthetic,tcp,18,1,1,0,1,20,High
synthetic,tcp,7,1,1,0,1,20,High
synthetic,tcp,14,1,0,0,1,16,High
synthetic,tcp,19,0,0,0,1,13,High
synthetic,tcp,4,1,0,0,1,14,High
synthetic,tcp,9,0,1,1,0,16,High
synthetic,tcp,17,1,0,0,1,16,High
synthetic,tcp,3,0,0,1,1,11,High
synthetic,tcp,19,0,1,0,1,17,High
synthetic,tcp,16,1,1,0,0,17,High
synthetic,tcp,20,1,1,0,0,17,High
synthetic,tcp,10,0,1,0,1,17,High
synthetic,tcp,17,1,0,0,0,13,High
synthetic,tcp,4,0,1,0,1,15,High
synthetic,tcp,4,0,1,1,0,14,High
synthetic,tcp,11,0,0,0,1,13,High
synthetic,tcp,17,1,0,0,0,13,High
synthetic,tcp,5,1,0,0,1,16,High
synthetic,tcp,13,0,1,0,0,14,High
synthetic,tcp,12,0,1,0,0,14,High
synthetic,tcp,14,1,1,0,0,17,High
synthetic,tcp,0,0,1,1,1,9,Medium
synthetic,tcp,2,1,1,1,1,16,High
synthetic,tcp,0,0,1,0,1,7,Medium
synthetic,tcp,1,0,1,1,1,11,High
synthetic,tcp,13,0,1,0,1,17,High
synthetic,tcp,1,1,0,0,1,8,Medium
synthetic,tcp,13,0,1,1,0,16,High
synthetic,tcp,9,1,1,1,1,22,High
synthetic,tcp,9,0,0,1,1,15,High
synthetic,tcp,5,1,1,0,1,20,High
synthetic,tcp,9,0,1,1,1,19,High
synthetic,tcp,14,1,0,1,0,15,High
synthetic,tcp,2,1,1,0,0,11,High
synthetic,tcp,9,0,0,0,0,10,Medium
synthetic,tcp,1,0,1,0,1,9,Medium
synthetic,tcp,13,0,1,1,1,19,High
synthetic,tcp,7,0,0,0,1,13,High
synthetic,tcp,7,0,1,0,0,14,High
synthetic,tcp,3,1,0,1,1,14,High
synthetic,tcp,14,1,1,0,1,20,High
synthetic,tcp,14,1,0,1,1,18,High
synthetic,tcp,20,0,1,1,0,16,High
synthetic,tcp,9,0,1,1,1,19,High
synthetic,tcp,17,0,0,0,0,10,Medium
synthetic,tcp,12,0,0,0,1,13,High
synthetic,tcp,13,1,1,1,0,19,High
synthetic,tcp,6,1,1,0,1,20,High
synthetic,tcp,15,0,1,1,1,19,High
synthetic,tcp,13,0,1,0,1,17,High
synthetic,tcp,13,1,0,1,1,18,High
synthetic,tcp,12,0,1,0,0,14,High
synthetic,tcp,12,0,0,1,0,12,High
synthetic,tcp,14,0,0,1,1,15,High
synthetic,tcp,10,0,1,1,1,19,High
synthetic,tcp,12,1,1,1,0,19,High
synthetic,tcp,15,0,0,1,0,12,High
synthetic,tcp,20,0,0,0,0,10,Medium
synthetic,tcp,6,0,0,0,0,10,Medium
synthetic,tcp,15,0,0,1,1,15,High
synthetic,tcp,11,0,0,0,1,13,High
synthetic,tcp,3,0,1,1,1,15,High
synthetic,tcp,6,0,0,0,1,13,High
synthetic,tcp,19,0,0,1,1,15,High
synthetic,tcp,11,0,1,0,1,17,High
synthetic,tcp,15,0,1,1,1,19,High
synthetic,tcp,4,1,0,1,1,16,High
synthetic,tcp,14,1,1,1,0,19,High
synthetic,tcp,2,1,1,0,1,14,High
synthetic,tcp,18,1,1,0,1,20,High
synthetic,tcp,10,0,1,0,1,17,High
synthetic,tcp,8,1,1,1,0,19,High
synthetic,tcp,16,0,0,0,1,13,High
synthetic,tcp,15,0,1,1,1,19,High
synthetic,tcp,0,0,1,0,1,7,Medium
synthetic,tcp,7,1,1,1,1,22,High
synthetic,tcp,13,1,1,1,1,22,High
synthetic,tcp,9,1,0,0,0,13,High
synthetic,tcp,10,0,0,0,0,10,Medium
synthetic,tcp,15,1,1,0,0,17,High
synthetic,tcp,9,0,1,0,1,17,High
synthetic,tcp,0,0,1,0,0,4,Low
synthetic,tcp,17,1,0,1,0,15,High
synthetic,tcp,0,1,1,1,1,12,High
synthetic,tcp,10,0,0,1,1,15,High
synthetic,tcp,3,0,1,1,0,12,High
synthetic,tcp,18,0,0,0,1,13,High
synthetic,tcp,2,0,0,1,0,6,Medium
synthetic,tcp,16,1,1,1,1,22,High
synthetic,tcp,18,1,1,0,0,17,High
synthetic,tcp,6,0,1,0,0,14,High
synthetic,tcp,7,0,0,0,0,10,Medium
synthetic,tcp,13,1,1,1,0,19,High
synthetic,tcp,7,1,1,1,0,19,High
synthetic,tcp,7,1,0,1,0,15,High
synthetic,tcp,17,0,0,1,0,12,High
synthetic,tcp,2,0,0,1,1,9,Medium
synthetic,tcp,14,0,1,1,1,19,High
synthetic,tcp,8,1,1,0,0,17,High
synthetic,tcp,13,1,1,0,0,17,High
synthetic,tcp,7,0,1,0,0,14,High
synthetic,tcp,15,1,1,0,1,20,High
synthetic,tcp,20,1,0,1,1,18,High
synthetic,tcp,13,1,1,0,0,17,High
synthetic,tcp,10,1,1,1,1,22,High
synthetic,tcp,17,0,1,0,1,17,High
synthetic,tcp,8,1,0,1,0,15,High
synthetic,tcp,17,1,1,0,0,17,High
synthetic,tcp,16,1,1,1,0,19,High
synthetic,tcp,6,1,0,1,1,18,High
synthetic,tcp,15,0,0,0,0,10,Medium
synthetic,tcp,9,0,1,0,0,14,High
synthetic,tcp,3,1,0,0,1,12,High
synthetic,tcp,9,1,1,1,1,22,High
synthetic,tcp,7,1,0,1,0,15,High
synthetic,tcp,19,0,0,1,1,15,High
synthetic,tcp,10,1,0,1,1,18,High
synthetic,tcp,18,1,0,1,1,18,High
synthetic,tcp,11,1,1,1,1,22,High
synthetic,tcp,6,0,1,0,1,17,High
synthetic,tcp,1,1,1,1,1,14,High
synthetic,tcp,20,0,1,0,0,14,High
synthetic,tcp,16,1,0,1,0,15,High
synthetic,tcp,16,1,0,0,1,16,High
synthetic,tcp,20,0,0,1,1,15,High
synthetic,tcp,10,1,0,1,1,18,High
synthetic,tcp,10,1,0,0,0,13,High
synthetic,tcp,20,1,0,0,1,16,High
synthetic,tcp,3,0,1,0,1,13,High
synthetic,tcp,0,0,1,0,1,7,Medium
synthetic,tcp,11,1,1,0,0,17,High
synthetic,tcp,16,1,0,0,0,13,High
synthetic,tcp,2,1,0,1,0,9,Medium
synthetic,tcp,7,1,1,1,1,22,High
synthetic,tcp,0,1,1,0,0,7,Medium
synthetic,tcp,14,1,1,1,1,22,High
synthetic,tcp,14,1,0,1,1,18,High
synthetic,tcp,3,0,1,1,1,15,High
synthetic,tcp,9,0,1,1,0,16,High
synthetic,tcp,18,0,1,1,0,16,High
synthetic,tcp,19,1,0,0,1,16,High
synthetic,tcp,4,0,0,1,1,13,High
synthetic,tcp,1,1,0,0,1,8,Medium
synthetic,tcp,10,1,0,0,0,13,High
synthetic,tcp,17,1,1,0,1,20,High
synthetic,tcp,15,1,1,0,1,20,High
synthetic,tcp,2,0,0,1,1,9,Medium
synthetic,tcp,2,1,0,1,0,9,Medium
synthetic,tcp,14,1,1,1,1,22,High
synthetic,tcp,3,0,1,0,1,13,High
synthetic,tcp,19,0,0,1,1,15,High
synthetic,tcp,20,1,0,0,0,13,High
synthetic,tcp,1,1,1,0,0,9,Medium
synthetic,tcp,7,0,1,1,1,19,High
synthetic,tcp,17,1,0,1,0,15,High
synthetic,tcp,15,1,1,0,1,20,High
synthetic,tcp,6,1,1,0,1,20,High
synthetic,tcp,3,1,1,0,1,16,High
synthetic,tcp,8,0,0,1,0,12,High
synthetic,tcp,6,0,0,1,0,12,High
synthetic,tcp,4,0,0,0,0,8,Medium
synthetic,tcp,7,1,0,0,1,16,High
synthetic,tcp,4,0,1,0,0,12,High
synthetic,tcp,0,0,0,1,0,2,Low
synthetic,tcp,18,1,0,0,1,16,High
synthetic,tcp,1,0,1,0,0,6,Medium
synthetic,tcp,15,1,1,0,1,20,High
synthetic,tcp,16,0,0,1,1,15,High
synthetic,tcp,20,0,0,1,1,15,High
synthetic,tcp,13,0,1,1,0,16,High
synthetic,tcp,2,1,0,0,0,7,Medium
synthetic,tcp,8,1,1,1,1,22,High
synthetic,tcp,16,1,0,0,0,13,High
synthetic,tcp,13,1,0,1,1,18,High
synthetic,tcp,14,1,1,0,1,20,High
synthetic,tcp,13,1,1,1,0,19,High
synthetic,tcp,15,0,0,0,0,10,Medium
synthetic,tcp,13,0,1,0,0,14,High
synthetic,tcp,18,1,0,1,1,18,High
synthetic,tcp,13,0,1,1,1,19,High
synthetic,tcp,3,0,0,1,0,8,Medium
synthetic,tcp,3,1,1,0,1,16,High
synthetic,tcp,18,0,1,0,1,17,High
synthetic,tcp,0,0,1,1,1,9,Medium
synthetic,tcp,11,0,0,0,1,13,High
synthetic,tcp,2,0,0,0,0,4,Low
synthetic,tcp,12,1,1,1,0,19,High
synthetic,tcp,11,1,1,0,0,17,High
synthetic,tcp,4,0,0,0,1,11,High
synthetic,tcp,14,1,1,1,1,22,High
synthetic,tcp,8,0,0,1,1,15,High
synthetic,tcp,3,1,1,1,0,15,High
synthetic,tcp,7,1,0,0,0,13,High
synthetic,tcp,9,0,0,1,1,15,High
synthetic,tcp,10,0,0,1,1,15,High
synthetic,tcp,5,0,1,0,1,17,High
synthetic,tcp,2,1,0,1,0,9,Medium
synthetic,tcp,14,0,1,1,1,19,High
synthetic,tcp,20,1,1,0,1,20,High
synthetic,tcp,0,1,0,1,1,8,Medium
synthetic,tcp,2,1,0,0,1,10,Medium
synthetic,tcp,18,1,0,1,1,18,High
synthetic,tcp,10,0,1,0,0,14,High
synthetic,tcp,16,0,0,1,1,15,High
synthetic,tcp,20,0,0,0,0,10,Medium
synthetic,tcp,8,0,0,0,0,10,Medium
synthetic,tcp,5,1,1,1,1,22,High
synthetic,tcp,20,1,0,1,0,15,High
synthetic,tcp,15,1,1,1,0,19,High
synthetic,tcp,11,0,1,1,1,19,High
synthetic,tcp,1,0,1,1,0,8,Medium
synthetic,tcp,20,0,1,1,0,16,High
synthetic,tcp,14,0,1,1,0,16,High
synthetic,tcp,1,1,0,1,0,7,Medium
synthetic,tcp,16,0,0,0,1,13,High
synthetic,tcp,14,0,1,1,1,19,High
synthetic,tcp,12,1,1,0,1,20,High
synthetic,tcp,2,1,0,1,1,12,High
synthetic,tcp,8,0,1,0,0,14,High
synthetic,tcp,11,1,1,0,0,17,High
synthetic,tcp,9,1,1,0,0,17,High
synthetic,tcp,20,1,1,0,1,20,High
synthetic,tcp,9,0,0,1,1,15,High
synthetic,tcp,6,0,0,0,0,10,Medium
synthetic,tcp,9,0,0,1,0,12,High
synthetic,tcp,19,1,0,0,0,13,High
synthetic,tcp,19,0,1,0,1,17,High
synthetic,tcp,11,0,1,1,1,19,High
synthetic,tcp,7,0,1,1,0,16,High
synthetic,tcp,11,1,1,1,1,22,High
synthetic,tcp,16,1,0,0,0,13,High
synthetic,tcp,8,0,1,1,0,16,High
synthetic,tcp,16,0,1,0,0,14,High
synthetic,tcp,8,1,0,1,0,15,High
synthetic,tcp,7,1,1,0,1,20,High
synthetic,tcp,1,1,1,0,1,12,High
synthetic,tcp,2,1,0,0,1,10,Medium
synthetic,tcp,3,1,0,0,0,9,Medium
synthetic,tcp,9,1,0,1,1,18,High
synthetic,tcp,19,0,0,0,1,13,High
synthetic,tcp,6,0,1,0,1,17,High
synthetic,tcp,7,1,0,0,0,13,High
synthetic,tcp,13,1,0,0,1,16,High
synthetic,tcp,19,0,0,0,1,13,High
synthetic,tcp,13,0,1,0,1,17,High
synthetic,tcp,5,0,1,0,0,14,High
synthetic,tcp,12,1,0,1,1,18,High
synthetic,tcp,8,0,1,0,1,17,High
synthetic,tcp,7,0,1,0,0,14,High
